TS-DDR,TS-LDR,SDDP-DCLL,SDDP-SOC,TS-DDR (strict)
22.51732496848532,37.919375441643616,15.010226053947687,29.88884403814745,30.458765766600905
47.20258811999907,71.04409366252557,27.799866146567854,58.85398607133367,57.76343794462871
72.83176865479658,87.01935425652064,41.809771632008996,82.61277155868845,79.55942523544871
91.6036862853376,110.9546703800459,54.779619691636846,105.02407149811434,102.3640045482149
111.75802365829193,124.62427072370988,67.41758956472614,127.58313808354393,127.23314750703618
132.06225985386516,140.7114941122255,76.61311783876522,147.63328200911607,149.28395529505624
151.88292311509423,163.09183590390472,85.64543943322955,168.65289410472099,169.75042070770465
167.62574263315506,176.9949496837815,90.09866940534309,189.75454495424944,187.6893129283803
184.1432711637443,192.12358945548075,97.21306040484191,218.11088982453344,206.98022476486403
199.10712684414443,211.72514898332275,100.754649277593,246.93492472290026,225.59237229075973
213.03560361830984,234.5026497996314,107.46682144224346,272.21531353974717,240.12435421501593
224.76897734579637,261.6236901648443,111.30922724569007,292.90711864275784,252.04369533669177
238.39447203378649,282.426645017808,114.62593628727466,311.83209342410777,265.09242625889686
245.37549219043413,285.94648083840264,113.43065917802855,322.5848167767246,271.33120381927586
252.4494932363904,296.90814187996295,110.20680607797237,322.2425933406325,273.33920353732105
250.45907641085287,296.9831633048792,106.20779976718435,320.00444979375743,270.04043722632156
248.8524629192563,300.7632599043702,101.76735381105871,312.8087106999844,265.38504262887227
245.3285907233545,290.30183231928174,95.88402955956306,303.1966369847269,259.0130759486473
237.90416834064467,290.15844458648814,89.15470564095466,296.46398240261857,252.12555542602587
230.9413064277374,281.77833258453296,82.17436482998376,286.69479612549327,243.77847669015543
221.1118971810357,281.1300748339776,74.6379921116223,275.7387873489527,234.0300699231589
209.82043242344366,273.15550833073513,66.46062403663097,264.90582250183024,224.2307970115964
197.17838472323572,255.4079970540009,58.1801555890566,252.08676360007652,213.74441729427633
184.5082417295772,243.31108770222295,49.643407346969596,237.85231993230704,202.78706726330324
171.364986731152,236.8863043514778,40.88630847779404,224.51757587451243,190.4835295366333
158.67507679180278,228.75659130962944,32.42172641872411,211.62777515165263,178.93558488118396
145.70893099014296,228.60197560222855,25.915677587474477,197.57381524080466,165.6894736001225
132.80165423375078,219.4870486506905,17.949546658738377,182.8952051783611,152.04457076413573
118.76446158949864,212.842623503242,10.91236331395401,169.0595060088052,139.79789850230674
105.47673733968136,197.82735475771423,6.342665426831365,156.70187722582688,127.65358321143336
92.28262527930282,183.60880119824964,2.9637113646432924,143.70426904824114,114.79802785727885
80.08178289428561,178.21417462426308,1.4904346490510063,131.34345908273133,100.93687977706415
68.05075167883604,174.38024725627528,0.6542767511259123,119.6560155151396,87.76382284286755
57.33892828225943,163.75151223638323,-2.1629451753485584e-7,107.89499970347059,74.90399069532566
47.91122996837452,158.30124789510745,0.01699339492037168,95.99205089892341,61.85270078016027
39.71203072777365,146.6433762840449,0.013683141695575645,81.98936536386094,48.82119456836235
32.08903884626882,138.74956149885196,-2.776369796429933e-5,70.22278074065235,37.94921398550819
25.567879137873327,117.64643250247984,0.02029723087689403,57.957500191547524,28.26309568696599
20.226109971544595,105.87824541767543,0.02942785780510852,48.218945817433884,20.65473538878002
15.822029319315941,95.26193888634329,0.0015619407570932227,36.867704663165426,13.177382267227502
11.86482403506727,82.88471848733366,0.0139202251526318,29.26424780181313,8.90534370422652
11.41444238123061,89.84998297693535,0.0666095021126761,25.92639157504742,7.522263709728443
11.760709387675428,80.56903002626132,0.02911519239806684,26.098422131593825,5.850846433137121
15.608653812842075,84.4812008303581,0.1451610159592241,22.394312574066713,3.5447955720063016
18.46652374296125,75.10873866189522,0.257529864394238,19.330147292287013,2.0999732627326524
19.154852416425946,79.66424881896181,0.34310578392406726,19.064203280951464,1.8250334808778776
17.76382346268219,82.33214023398799,0.04020249114668608,20.09172473445721,1.211979687666863
11.770417835270539,77.16028138611318,0.1601258590007935,19.35396878018543,0.8408710530490285
28.575902113160843,100.30120799881679,8.290616244150943,46.258638018871736,25.68369049047177
44.6500656371219,133.7662232684492,18.826473984628194,73.04283772380003,53.77022334956752
58.93359681990834,144.39896871097727,26.967830366959436,95.94410009405843,77.38194434940218
78.81921579909906,157.05027238202555,36.00161441777166,117.71853421648952,100.76000446648004
96.31823829542331,172.46207271242636,47.67488678462672,140.18906733662052,125.91256006951619
113.68465589999252,199.6980903165839,56.815618070614086,161.20146693953137,147.66561942053426
131.44733746695687,218.31345641963154,65.0298903498588,181.69307761993895,168.44823138836287
143.57022598996326,248.0669589387606,78.12103160217615,199.8999392076057,186.97956897371287
160.2545160514829,276.4730547448535,95.53937029048053,220.31192988484966,207.86295400946065
173.71546658765067,294.32632069405474,107.5932705161822,239.09635346381702,225.47126269672492
188.87717865623495,289.0248763377732,118.23444331568548,255.85211397472423,241.13236595003633
200.72440725109396,310.47111738812987,125.58297208702875,272.7401007551301,252.9735009904081
211.54578497851003,321.62467412938156,135.04096202155375,292.5534588326327,265.7166212598034
219.67787470209927,322.9377982306577,138.23259862143857,305.2552176250861,272.87372052066604
225.5911712053431,313.0818205198798,137.52220454328514,306.9497613201085,274.7942798565622
225.39958719867292,303.0418832885243,134.56161843454288,303.58072451918565,272.15925221784215
223.0003148921021,295.41511330313085,130.39480512697176,295.56194440948934,266.9798090916902
219.3358500411617,292.2241103571665,124.0594015578791,285.94793100031006,260.39700073573346
215.7865012983455,282.52479046838965,117.20362201093069,278.35828561341475,253.634969687372
208.9688074571684,270.8475139202375,109.91183630093335,268.7469595331369,245.5294693796638
200.25820568279497,268.14577165979705,102.18413675040794,256.9288932038997,235.13414146568158
189.3589474950667,274.8028403967962,94.29202902742942,246.23379738459545,225.55640475182324
179.11347981019935,269.33461930444184,86.51972305194262,235.28235566184617,215.37355080618886
166.46173064664583,261.0404132262943,77.8672879103141,222.9405685439762,203.81449685097138
154.36450314445943,258.2200123763158,69.45071513510558,209.73529860734234,191.70728842690482
142.61948735542381,250.57594722312155,61.04749888339048,197.4097594424145,179.63985165695263
130.39403275688142,237.56983972063503,53.57905190860542,183.16067786345798,166.84081909849618
118.09172135231981,232.9065992805976,45.31949038232733,167.08432725260056,153.4635393785389
107.2702477985387,215.22999411819978,37.242727577570335,153.20481806438926,140.99387306129591
97.0065973471623,205.80014155651824,28.961340379753675,140.27220558777037,129.00590608741652
84.6333338632984,192.9275305544331,20.748060187265494,128.88089859059698,115.79991834248376
74.44115642907373,175.65153529061962,13.951363389962466,115.32978413235291,102.11766760572887
65.89676047851572,159.63588608030236,9.971531743391353,102.90650396427401,88.89344582756674
59.101026640990746,157.6032563807769,5.649949808269948,91.77112364358631,76.09868001212048
50.4628042074048,151.14613237451394,2.8422167357923183,81.38224893770428,63.06719571114836
43.380434756627224,142.1297446607122,0.8089371675179539,69.40743842003496,50.21450504411685
37.2402039626919,131.15093810046022,-2.7757075579902497e-5,58.51697840372556,38.97364417660644
32.6377410503266,127.61272326799181,0.014576637404480192,49.72583740775145,28.915285549722427
29.407339371204802,122.7377666202245,0.020931438505678426,41.99241630483234,21.03021397587421
24.06393930942189,85.84155793018172,0.0062571966267834424,29.914239653894793,13.40218700173315
23.127901917898463,65.85303059430143,0.03619878202007641,21.935606087997716,9.268440492946311
22.924839043559988,62.40507538369134,0.23070127422069103,18.650205536148956,7.830520814578429
22.007801580404273,59.154416378847564,0.49709652305249996,16.31324545284173,6.1674695208565185
21.136620549198433,54.197233720503064,0.12869349623927082,12.457190721911122,3.809203547797979
19.031142363960612,38.14249299045677,0.2798932995958727,8.11780690376344,1.9133917353552115
17.40204173868524,30.7482859887398,0.6275685251939801,6.793617876065368,1.583261510930154
12.246953654446704,19.1380483634613,0.7553403609073082,6.373971458330337,1.2736466082355737
0.40074148030873114,1.9740202514084515,-2.7761152226093412e-5,4.45582104449006,0.8413817689226626
